Zip_Code,Metro,City,Population_2012,Home_Ownership_2012,Renter_2012,Foreign_Born_2012,Poverty_Black_2012,Poverty_Hispanic_2012,Poverty_White_2012,Black_Insurance_Coverage_2012,Black_No_Insurance_Coverage_2012,Hispanic_Insurance_Coverage_2012,Hispanic_No_Insurance_Coverage_2012,White_Insurance_Coverage_2012,White_No_Insurance_Coverage_2012,Total_Income_2012,Total_Income_Black_2012,Total_Income_Hispanic_2012,Total_Income_White_2012,Population_Black_2012,Population_White_2012,Population_Hispanic_2012,Population_Other_2012,Population_2013,Home_Ownership_2013,Renter_2013,Foreign_Born_2013,Poverty_Black_2013,Poverty_Hispanic_2013,Poverty_White_2013,Black_Insurance_Coverage_2013,Black_No_Insurance_Coverage_2013,Hispanic_Insurance_Coverage_2013,Hispanic_No_Insurance_Coverage_2013,White_Insurance_Coverage_2013,White_No_Insurance_Coverage_2013,Total_Income_2013,Total_Income_Black_2013,Total_Income_Hispanic_2013,Total_Income_White_2013,Population_Black_2013,Population_White_2013,Population_Hispanic_2013,Population_Other_2013,Population_2014,Home_Ownership_2014,Renter_2014,Foreign_Born_2014,Poverty_Black_2014,Poverty_Hispanic_2014,Poverty_White_2014,Black_Insurance_Coverage_2014,Black_No_Insurance_Coverage_2014,Hispanic_Insurance_Coverage_2014,Hispanic_No_Insurance_Coverage_2014,White_Insurance_Coverage_2014,White_No_Insurance_Coverage_2014,Total_Income_2014,Total_Income_Black_2014,Total_Income_Hispanic_2014,Total_Income_White_2014,Population_Black_2014,Population_White_2014,Population_Hispanic_2014,Population_Other_2014,Population_2015,Home_Ownership_2015,Renter_2015,Foreign_Born_2015,Poverty_Black_2015,Poverty_Hispanic_2015,Poverty_White_2015,Black_Insurance_Coverage_2015,Black_No_Insurance_Coverage_2015,Hispanic_Insurance_Coverage_2015,Hispanic_No_Insurance_Coverage_2015,White_Insurance_Coverage_2015,White_No_Insurance_Coverage_2015,Total_Income_2015,Total_Income_Black_2015,Total_Income_Hispanic_2015,Total_Income_White_2015,Population_Black_2015,Population_White_2015,Population_Hispanic_2015,Population_Other_2015,Population_2016,Home_Ownership_2016,Renter_2016,Foreign_Born_2016,Poverty_Black_2016,Poverty_Hispanic_2016,Poverty_White_2016,Black_Insurance_Coverage_2016,Black_No_Insurance_Coverage_2016,Hispanic_Insurance_Coverage_2016,Hispanic_No_Insurance_Coverage_2016,White_Insurance_Coverage_2016,White_No_Insurance_Coverage_2016,Total_Income_2016,Total_Income_Black_2016,Total_Income_Hispanic_2016,Total_Income_White_2016,Population_Black_2016,Population_White_2016,Population_Hispanic_2016,Population_Other_2016,Population_2017,Home_Ownership_2017,Renter_2017,Foreign_Born_2017,Poverty_Black_2017,Poverty_Hispanic_2017,Poverty_White_2017,Black_Insurance_Coverage_2017,Black_No_Insurance_Coverage_2017,Hispanic_Insurance_Coverage_2017,Hispanic_No_Insurance_Coverage_2017,White_Insurance_Coverage_2017,White_No_Insurance_Coverage_2017,Total_Income_2017,Total_Income_Black_2017,Total_Income_Hispanic_2017,Total_Income_White_2017,Population_Black_2017,Population_White_2017,Population_Hispanic_2017,Population_Other_2017,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
90001,Los Angeles-Long Beach-Anaheim,Florence-Graham,54480,21454,32053,23718,32,1210,2062,2163,794,14266,14266,10774,11547,35658,28428,36875,19583,4967,38027,54480,10576,54760,20772,33004,24376,44,1304,1964,2034,748,14014,14014,9187,10495,35097,27348,36453,11908,4658,32886,54760,16219,56314,20855,34367,24277,74,1319,1669,2448,872,15969,15969,8674,8185,34050,25722,35338,11103,5330,28097,56314,21612,57227,20736,35360,24899,49,1347,1274,2421,637,18044,18044,8468,6302,33887,23205,35215,33333,5090,24493,57227,26348,57942,20474,36352,24508,73,1272,1134,2395,512,20573,20573,8316,4358,34323,23942,35646,34306,5153,20811,57942,30661,58738,20973,36741,24628,107,1277,962,2518,498,21501,21501,8083,3265,35660,22851,37115,53750,5383,19012,58738,33065,177700,177600,177800,179100,181400,183100,183700,184000,184600,185800,187800,190000,191900,193900,196400,198500,200800,203800,207900,212500,216100,218300,220300,223200,226700,230700,233500,235100,237000,240000,242400,243600,244200,245300,245800,246000,246600,248500,250800,253400,256500,260100,263000,265300,268100,271200,274200,276900,280100,283200,286900,291300,295200,297500,300500,304800,309200,313100,316800,319800,321900,323900,325600,327200,329300,331700,333800,336100,338200,340700,344700,349400
90002,Los Angeles-Long Beach-Anaheim,Los Angeles,48613,20173,27476,16212,193,925,1579,5452,1718,10669,10669,8641,7731,32299,22443,38335,17778,13202,28786,48613,5990,49475,19301,29203,16570,178,901,1414,5415,1924,10602,10602,7583,7774,31258,21508,38113,14250,12892,26383,49475,9368,50098,20253,28754,16972,213,927,1103,5248,1957,11901,11901,7530,6804,30214,21610,37207,21063,12316,24235,50098,12689,50626,20003,29387,17331,192,873,1021,5398,1724,12764,12764,7162,6010,30413,22154,36188,20774,11741,22314,50626,15536,51826,20426,30380,18359,185,903,801,5504,1604,14704,14704,6982,4963,32520,26681,36410,21481,11188,19573,51826,19716,52856,20321,31606,18428,122,917,834,5544,1415,15848,15848,7788,3964,34000,25854,37536,24844,11401,19918,52856,20177,175300,175500,175900,177000,178700,180700,181800,182200,183100,185000,187600,189200,190800,193600,197600,200400,203100,206000,208400,210500,213100,215200,217200,219600,221400,222500,224200,225800,227000,228700,231800,234900,237400,239800,241400,243000,245600,249000,252400,256400,260700,264000,266100,267700,269900,271900,274900,278400,282300,285000,287500,289300,290400,291300,293600,297200,300800,303600,305900,308200,310300,312200,314200,317400,321300,325200,328800,332400,335600,339500,344600,349000
90003,Los Angeles-Long Beach-Anaheim,Los Angeles,67226,23732,41840,26472,280,1426,1420,6843,2941,12711,12711,7149,7608,29174,22345,35146,26579,17349,25021,67226,23300,66200,22764,41981,25423,238,1387,1095,6682,2865,12364,12364,5095,5517,29686,21076,36266,31667,16990,17985,66200,29569,66913,22251,43483,25468,202,1459,885,6577,2676,13677,13677,4693,4383,30016,20616,36050,32143,16486,14979,66913,33584,69502,24296,43955,26142,150,1445,1124,7027,2266,16188,16188,6019,4269,30805,20575,36566,26375,16155,16585,69502,35137,70208,23021,45834,26529,156,1282,1348,7376,1804,18852,18852,7679,3911,31878,21090,37641,26763,16206,18114,70208,34284,70490,22456,46618,26326,256,1201,1587,7464,1417,20903,20903,9099,4030,34397,21917,39904,27768,15778,20983,70490,32218,178200,178500,179100,179900,181400,182900,183900,185000,186700,188600,191300,193900,196100,198800,202600,206200,209300,212600,216400,219600,221800,223100,224300,226200,228900,231700,233900,235500,237200,239700,242200,244200,246100,248300,249600,250300,251100,252300,253800,256200,259300,262700,265200,266700,268300,270500,273200,276100,279700,283700,287900,291700,294700,297500,301100,305300,309500,313300,317100,320300,322200,323500,324900,326200,327700,329000,331000,335400,340200,343400,346500,349400
90004,Los Angeles-Long Beach-Anaheim,Los Angeles,62884,12409,48953,34691,36,852,1512,869,478,7562,7562,9456,5672,38430,28115,31575,62321,1889,21535,62884,21076,62760,11219,50066,34490,26,931,1461,922,567,7827,7827,9218,5715,37976,26121,31486,60708,1972,21165,62760,21953,63547,11468,50576,34034,49,924,1330,1260,640,9325,9325,9683,5276,38493,27619,32116,62151,2271,21951,63547,20702,64008,11327,51066,33594,47,769,1529,1419,524,11176,11176,11821,5044,40612,29219,33616,65257,2323,24415,64008,18348,63095,11334,50094,32106,72,641,1786,1545,463,12479,12479,13299,4507,43180,29345,36916,69419,2405,25611,63095,16752,62733,11009,50185,32136,54,600,1791,1632,454,12381,12381,12655,3897,46581,32885,41654,67166,2544,23687,62733,18339,806300,799500,793300,792200,791700,789000,794600,811900,832300,845200,855300,865900,878400,895600,918000,938700,961600,984700,999000,1008300,1021100,1039400,1055900,1066200,1070700,1076900,1087700,1099900,1101700,1106700,1117900,1130700,1140900,1151500,1159600,1175900,1200500,1227000,1249200,1266000,1276000,1278600,1280800,1283000,1290500,1304200,1318000,1328900,1339000,1344600,1347400,1355000,1369900,1385900,1401900,1423600,1445200,1462200,1482700,1502300,1510000,1507100,1508600,1508000,1499300,1492500,1493100,1497300,1505700,1510700,1513100,1523300
90005,Los Angeles-Long Beach-Anaheim,Los Angeles,39592,3255,35570,25145,21,810,715,1256,522,4832,4832,3168,3165,32086,36224,30357,39504,2256,9210,39592,15024,39548,3070,35803,24699,30,803,697,1066,444,5029,5029,2961,2729,31893,30843,31005,38587,1965,8196,39548,15764,38638,3076,34888,23719,5,779,702,826,432,4971,4971,3044,2456,31214,30549,30119,37438,1654,7554,38638,15639,38979,3340,34815,23836,6,811,598,1145,377,5328,5328,3120,2186,31142,29737,29485,39551,2139,7185,38979,15586,39338,3523,35075,23622,33,890,567,1224,367,5984,5984,3431,2046,31485,27614,30007,41755,2213,7471,39338,15096,39562,3557,35404,23266,68,708,553,1386,394,6109,6109,3693,2068,32461,31890,31407,43602,2464,8045,39562,13960,787200,787200,802600,835100,867100,883500,895000,902600,913700,930000,943300,946100,952000,958500,967500,978500,997300,1018100,1045100,1066200,1069900,1060200,1060700,1076000,1087100,1090900,1097000,1102500,1105800,1114500,1127200,1135200,1149300,1170800,1197400,1226300,1253000,1263900,1268800,1284900,1304500,1313300,1313900,1313400,1314400,1320800,1329700,1333100,1337400,1348200,1370200,1386200,1381800,1371100,1378700,1396800,1414700,1425800,1428300,1429600,1437800,1441100,1433100,1423300,1417400,1413300,1410300,1419800,1433600,1440200,1439100,1441200
90006,Los Angeles-Long Beach-Anaheim,Los Angeles,58849,5928,51281,37161,35,1195,529,859,444,9426,9426,3726,5450,30260,21414,30285,37344,1932,14635,58849,30393,59498,5180,52800,37159,48,1114,441,903,475,10023,10023,3777,4310,30961,23500,31015,46688,1909,13080,59498,32027,61419,4968,54969,37884,72,1085,456,856,536,11338,11338,3624,3487,31403,23824,31341,43125,1990,11092,61419,35348,61625,5007,55053,37087,40,1113,578,913,454,12612,12612,4109,3441,31521,24773,31342,37344,1973,11569,61625,35008,61230,5409,54108,36174,39,1152,797,1059,353,13860,13860,5286,3420,31993,29313,31430,37031,2122,13274,61230,32329,62329,5789,54844,35894,39,1159,1058,1114,240,14936,14936,6256,4133,33790,32656,32350,44000,2090,16303,62329,30595,332100,336900,341700,345600,350600,356700,362500,366600,370100,370400,371600,375000,379600,383600,391900,402500,412000,418900,422500,426900,434000,441600,447100,454100,460100,463500,462100,461000,463700,470900,480400,489300,497000,506700,515000,519700,524300,531600,541100,550500,554900,555700,556400,558600,562400,565400,566800,568800,572200,576900,582200,585500,588300,592000,599700,609200,615600,618400,624800,638500,652800,659500,663600,672000,679600,686600,693900,700100,704200,710600,719900,726800
90007,Los Angeles-Long Beach-Anaheim,Los Angeles,43653,6205,30380,19150,121,564,643,2467,687,7689,7689,9358,3158,22047,17091,29845,10668,4305,15579,43653,15538,43173,6155,30478,18719,132,566,494,2402,711,7893,7893,9274,2791,22420,20059,29101,15000,4281,14699,43173,15288,43779,5936,31426,19412,102,592,360,2508,628,8574,8574,8665,1994,22646,19911,30000,18438,4436,12602,43779,17117,43426,4660,32477,19332,112,652,445,2601,516,8694,8694,8750,1828,22304,17144,28635,19203,4417,12434,43426,16371,41979,5046,30589,18185,119,593,409,2542,471,9427,9427,9127,1420,22485,19846,28373,19004,4360,12305,41979,15325,41221,5326,29505,18106,83,518,453,2407,524,9292,9292,8565,1261,23070,20208,29906,20854,4519,12299,41221,14408,326400,325800,325300,324600,325600,328800,332200,334700,336900,339400,343900,348900,352700,357500,364100,370400,376000,381600,385300,388000,391700,397300,401300,403500,404600,408000,415600,427000,436700,442700,447600,451100,452700,451500,448500,447600,451400,458700,464900,469200,473500,479600,485900,488700,491800,497400,503100,506300,511100,514800,517800,519000,517700,516700,521900,530500,537100,541600,549200,559100,565300,568300,569500,570200,571100,575300,578800,581200,585900,594400,602700,612500
90008,Los Angeles-Long Beach-Anaheim,Los Angeles,33754,12453,20817,5763,31,312,154,12156,2719,1898,1898,785,564,39661,41424,29677,65909,24196,2567,33754,4930,33280,11776,21089,6018,74,380,159,10799,3343,2022,2022,1189,873,38210,40197,28811,92596,22867,3684,33280,4725,33012,12178,20300,6019,80,305,163,10907,3287,2133,2133,1237,1130,36180,38529,27249,75673,22878,4010,33012,3677,31837,12517,18776,6003,129,261,172,11432,2777,2523,2523,1573,1174,0,38253,29527,78438,21580,4317,31837,3583,32060,12136,19468,5623,174,214,273,11362,2472,2937,2937,2260,1300,36134,35074,32603,103295,21051,5590,32060,2982,32359,11936,19877,5586,186,179,290,11913,2314,2857,2857,2535,1313,36641,35761,33481,104938,21592,5944,32359,2377,364200,365400,367500,371000,374600,378100,382200,386100,388500,393000,403900,415700,424100,431200,439700,449000,459300,469300,478100,484100,488000,490500,491900,492200,493100,496100,499300,503400,509600,515800,520700,525000,528100,531100,533800,536800,541600,547800,555300,562600,567900,575100,584400,592500,600900,611400,620100,628200,636600,642600,647100,651900,655700,658300,663600,670500,677700,684000,692400,701700,708600,713700,719100,724800,728600,732500,738000,746100,753200,758800,766600,776900
90010,0,0,3835,830,2968,2617,0,0,41,8,38,180,180,342,144,53353,58224,49355,47450,46,776,3835,150,4133,828,3256,2684,0,0,75,34,19,116,116,358,184,51359,3889,39076,55000,60,813,4133,167,3792,722,3038,2599,0,0,69,60,0,70,70,320,182,47308,100526,31791,57171,69,747,3792,154,3740,795,2928,2511,0,0,64,120,20,114,114,346,140,0,0,37083,48750,150,681,3740,152,3524,785,2710,2270,0,0,53,163,21,174,174,392,124,47569,68359,32165,56550,199,665,3524,171,3759,799,2937,2415,0,0,49,151,20,185,185,493,107,47115,70313,32396,61250,180,867,3759,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90011,Los Angeles-Long Beach-Anaheim,Los Angeles,100671,30232,68188,50964,124,3377,1408,3171,1508,20171,20171,7052,9270,30198,21947,31433,39400,7809,26952,100671,63642,100882,29410,69262,49677,110,3237,1410,3044,1439,21133,21133,7949,9469,30171,19564,31289,52604,7641,28161,100882,62368,102926,29270,71521,49781,186,3259,1565,3482,1484,23972,23972,9602,9392,29889,20248,31228,52875,8250,30170,102926,61890,104058,29293,72588,49537,202,3021,1873,4009,1541,27068,27068,12368,10636,30251,20983,31615,36000,8960,37008,104058,55434,104762,29203,73558,49162,206,2773,1927,4402,1002,31399,31399,13734,10089,31684,21675,33264,37727,8979,37997,104762,54842,108051,29815,76327,49419,188,2670,2385,4409,864,34696,34696,16661,10198,33824,21939,36002,27031,9040,44204,108051,51642,177200,176800,177600,180100,183600,186800,188000,188100,188300,189200,192500,197700,202700,207600,213100,217200,221500,227300,232900,237300,240900,242400,242400,242100,242200,242200,241800,241500,242000,242800,244700,246700,247400,247400,247200,247200,248700,251700,255000,258600,263200,269500,276000,280400,283700,287100,290800,296200,303200,307900,310000,312100,314700,317300,319800,322100,325600,330800,336800,341600,344500,348200,352200,354500,354400,354200,355100,358400,362200,365300,368100,370100
