Zip_Code,lat,long,Metro,City,Population,Home_Ownership,Renter,Poverty_Black,Poverty_Hispanic,Poverty_White,Black_Insurance_Coverage,Hispanic_Insurance_Coverage,White_Insurance_Coverage,Foreign_Born,Total_Income,Total_Income_Black,Total_Income_Hispanic,Total_Income_White,Population_White,Population_Black,Population_Asian,Population_Other,Housing_Price,HomePriceCat,IncomeBracket,PopDem,PopType,Ethnicity,HousingType,BelowPoverty
92173,32.556264,-117.05057,San Diego-Carlsbad,San Diego,31728,9833,21277,13656,29897,979,154,29974,970,154,7903,107,7392,270,26860,156,468,3584,444066.6667,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
92134,32.562106,-117.07166,0,0,258,0,0,5,0,0,0,0,0,0,0,0,0,0,133,75,11,35,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Renters,Black
92154,32.574398,-117.05633,San Diego-Carlsbad,San Diego,87218,49306,31886,30520,57251,9219,3642,57166,8938,3782,21626,1237,13759,3547,60404,4923,10614,6578,452016.6667,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,Hispa
91932,32.579555,-117.11708,San Diego-Carlsbad,Imperial Beach,26713,8060,18189,5690,13580,8454,1002,13618,7930,1007,8847,409,3475,3904,18946,1007,2214,1545,550425,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
91980,32.588485,-116.63034,0,0,623,540,83,293,623,0,0,623,0,0,83,0,83,0,540,0,0,83,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,Hispa
91911,32.608799,-117.0607,San Diego-Carlsbad,Chula Vista,84025,41802,40392,28671,62144,11552,2869,62424,11444,2915,24288,1127,16182,4971,62630,2972,6025,8768,457300,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,Hispa
91917,32.616539,-116.71187,0,0,1125,974,44,226,671,273,48,671,273,48,232,0,135,79,845,48,4,86,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,Hispa
91963,32.620782,-116.60671,0,0,957,757,200,214,548,409,20,548,409,20,321,0,171,150,937,20,0,0,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,Hispa
91934,32.624424,-116.17025,0,0,298,238,60,71,115,95,0,115,95,0,206,0,89,75,210,0,62,0,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,Hispa
91915,32.638072,-116.95195,San Diego-Carlsbad,Chula Vista,32073,23020,8715,8845,15984,5002,2131,15806,4719,2281,8205,748,3553,2009,18205,2281,6844,1541,620941.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
91910,32.638654,-117.06686,San Diego-Carlsbad,Chula Vista,76250,35739,38458,22871,46014,17090,2900,46038,16880,2993,25375,1068,13497,7781,56110,3114,7386,5218,518066.6667,MedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Renters,Hispa
91913,32.642486,-116.98973,San Diego-Carlsbad,Chula Vista,49346,35616,13238,17320,22132,7124,2872,22061,6675,3039,14369,1071,5715,3281,24920,3039,15247,2657,587966.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92132,32.643703,-117.138414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Renters,White
91914,32.662563,-116.95413,San Diego-Carlsbad,Chula Vista,17186,14269,2757,4197,7751,3459,1112,7704,3363,1131,4598,310,1976,1192,10133,1131,3988,445,710675,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
91902,32.663803,-117.02456,San Diego-Carlsbad,Bonita,19762,13856,5658,4949,9337,6609,616,9426,6527,625,6078,164,2211,2909,14306,625,2297,996,656866.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
91906,32.664307,-116.46513,San Diego-Carlsbad,Campo,3426,2201,953,397,922,1880,39,993,1915,39,1094,18,204,747,2883,59,35,16,266183.3333,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
91950,32.670903,-117.09272,San Diego-Carlsbad,National City,62386,20964,36218,24982,39413,4400,2097,39515,4399,2193,16546,936,10183,2081,38778,3184,11823,6007,397866.6667,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92155,32.671602,-117.165665,0,0,486,0,0,16,0,0,0,0,0,0,0,0,0,0,309,83,44,46,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Renters,Black
91905,32.672239,-116.31497,0,0,1528,973,432,29,186,1045,72,186,1031,72,610,61,84,408,1284,108,3,2,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,White
92139,32.677286,-117.05241,San Diego-Carlsbad,San Diego,36836,21273,14514,11674,14875,4528,4783,14771,4277,4865,10415,1566,3701,1866,16199,4878,10400,2198,436975,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92118,32.682727,-117.17441,San Diego-Carlsbad,Coronado,22623,9313,10741,2286,2690,16168,173,2596,15131,188,8486,103,843,7103,20154,736,741,182,1932941.667,AboveMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,White
92113,32.697402,-117.12001,San Diego-Carlsbad,San Diego,56478,13083,35663,18808,40507,2007,4991,40549,1968,4986,13041,1977,9690,787,26602,6541,2181,19339,365583.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92114,32.706954,-117.0542,San Diego-Carlsbad,San Diego,69635,45021,23318,23237,29991,6166,13593,30044,5970,13629,17789,4672,6283,2362,20245,13657,17345,13750,422683.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
92102,32.714992,-117.12537,San Diego-Carlsbad,San Diego,44644,13190,30148,14475,27423,8708,4393,27415,8461,4425,14454,1655,7220,4351,32007,4451,2568,3323,431175,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
91935,32.718186,-116.82606,San Diego-Carlsbad,Jamul,8547,7094,1433,1269,1967,5706,145,1994,5697,145,2807,57,484,2061,7449,145,238,510,606908.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
92101,32.719601,-117.16246,San Diego-Carlsbad,San Diego,38023,9028,24613,7281,6497,22311,2625,6370,21670,2731,22356,1534,3290,14693,28936,3036,3219,906,590641.6667,MedianHomePrice,UpperMiddleIncome,Semi-Urban,NativeBorn,White,Renters,White
